source_file,main_player,style,player_color,opponent,event,site,date,year,round,white,black,white_elo,black_elo,result,result_label,player_result,eco,eco_family,num_plies,num_moves,opening_plies,opening_player_captures,opening_player_checks,opening_player_castles,opening_player_promotions,opening_opponent_captures,opening_opponent_checks,middlegame_plies,middlegame_player_captures,middlegame_player_checks,middlegame_player_castles,middlegame_player_promotions,middlegame_opponent_captures,middlegame_opponent_checks,endgame_plies,endgame_player_captures,endgame_player_checks,endgame_player_castles,endgame_player_promotions,endgame_opponent_captures,endgame_opponent_checks
Karpov.pgn,Karpov,positional,black,"Steinberg, Mikhail",URS-ch U18 playoff,Leningrad,1969.??.??,1969,8,"Steinberg, Mikhail","Karpov, Anatoly",,,0-1,black_win,win,E06,E,81,40.5,20,2,0,1,0,2,0,40,6,1,0,0,6,0,21,1,0,0,0,1,2
Karpov.pgn,Karpov,positional,black,"Vaganian, Rafael A",URS-ch U18 playoff,Leningrad,1969.??.??,1969,9,"Vaganian, Rafael A","Karpov, Anatoly",,,1/2-1/2,draw,draw,E20,E,106,53.0,20,3,1,0,0,2,0,40,2,0,1,0,3,0,46,4,0,0,0,5,6
Karpov.pgn,Karpov,positional,white,"Steinberg, Mikhail",URS-ch U18 playoff,Leningrad,1969.??.??,1969,10,"Karpov, Anatoly","Steinberg, Mikhail",,,0-1,black_win,loss,B25,B,92,46.0,20,0,0,1,0,0,0,40,9,0,0,0,10,0,32,3,1,0,0,3,0
Karpov.pgn,Karpov,positional,white,"Vaganian, Rafael A",URS-ch U18 playoff,Leningrad,1969.??.??,1969,11,"Karpov, Anatoly","Vaganian, Rafael A",,,1/2-1/2,draw,draw,B04,B,105,52.5,20,1,0,1,0,1,0,40,6,0,0,0,6,0,45,5,2,0,0,5,1
Karpov.pgn,Karpov,positional,black,"Steinberg, Mikhail",URS-ch U18 playoff,Leningrad,1969.??.??,1969,12,"Steinberg, Mikhail","Karpov, Anatoly",,,1/2-1/2,draw,draw,C92,C,48,24.0,20,0,0,1,0,0,0,28,5,0,0,0,5,0,0,0,0,0,0,0,0
Karpov.pgn,Karpov,positional,white,"Bisguier, Arthur Bernard",Caracas,Caracas,1970.??.??,1970,1,"Karpov, Anatoly","Bisguier, Arthur Bernard",,,1/2-1/2,draw,draw,C65,C,168,84.0,20,0,0,1,0,0,0,40,2,0,0,0,2,0,108,9,2,0,0,10,13
Karpov.pgn,Karpov,positional,black,"Barcza, Gedeon",Caracas,Caracas,1970.??.??,1970,2,"Barcza, Gedeon","Karpov, Anatoly",,,0-1,black_win,win,A37,A,68,34.0,20,0,0,1,0,0,0,40,7,1,0,0,7,0,8,0,0,0,0,0,0
Karpov.pgn,Karpov,positional,white,"Parma, Bruno",Caracas,Caracas,1970.??.??,1970,3,"Karpov, Anatoly","Parma, Bruno",,,1-0,white_win,win,E39,E,131,65.5,20,1,0,1,0,1,0,40,5,0,0,0,5,0,71,4,2,0,0,3,0
Karpov.pgn,Karpov,positional,black,Slujssar,Caracas,Caracas,1970.??.??,1970,4,Slujssar,"Karpov, Anatoly",,,0-1,black_win,win,A48,A,48,24.0,20,0,0,1,0,0,0,28,4,0,0,0,3,0,0,0,0,0,0,0,0
Karpov.pgn,Karpov,positional,white,"Cuellar Gacharna, Miguel",Caracas,Caracas,1970.??.??,1970,5,"Karpov, Anatoly","Cuellar Gacharna, Miguel",,,1-0,white_win,win,B25,B,99,49.5,20,0,0,1,0,0,0,40,4,1,0,0,4,1,39,5,3,0,0,3,2
Karpov.pgn,Karpov,positional,black,"Benko, Pal C",Caracas,Caracas,1970.??.??,1970,6,"Benko, Pal C","Karpov, Anatoly",,,1/2-1/2,draw,draw,E17,E,25,12.5,20,2,0,1,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Karpov.pgn,Karpov,positional,white,"O'Kelly de Galway, Alberic",Caracas,Caracas,1970.??.??,1970,7,"Karpov, Anatoly","O'Kelly de Galway, Alberic",,,1-0,white_win,win,C95,C,81,40.5,20,0,0,1,0,0,0,40,9,0,0,0,8,2,21,1,0,0,0,1,0
Karpov.pgn,Karpov,positional,black,"Ivkov, Borislav",Caracas,Caracas,1970.??.??,1970,8,"Ivkov, Borislav","Karpov, Anatoly",,,1-0,white_win,loss,D58,D,57,28.5,20,1,0,1,0,0,0,37,4,0,0,0,6,6,0,0,0,0,0,0,0
Karpov.pgn,Karpov,positional,white,"Panno, Oscar",Caracas,Caracas,1970.??.??,1970,9,"Karpov, Anatoly","Panno, Oscar",,,1/2-1/2,draw,draw,B42,B,95,47.5,20,1,0,1,0,1,0,40,1,0,0,0,1,1,35,6,0,0,0,6,2
Karpov.pgn,Karpov,positional,black,"Kavalek, Lubomir",Caracas,Caracas,1970.??.??,1970,10,"Kavalek, Lubomir","Karpov, Anatoly",,,1-0,white_win,loss,C98,C,117,58.5,20,0,0,1,0,0,0,40,5,1,0,0,4,0,57,5,2,0,0,9,10
Karpov.pgn,Karpov,positional,white,"Sigurjonsson, Gudmundur",Caracas,Caracas,1970.??.??,1970,11,"Karpov, Anatoly","Sigurjonsson, Gudmundur",,,1/2-1/2,draw,draw,B06,B,76,38.0,20,0,0,0,0,0,0,40,5,0,0,0,5,1,16,4,0,0,0,4,5
Karpov.pgn,Karpov,positional,white,"Villarroel, Geber",Caracas,Caracas,1970.??.??,1970,12,"Karpov, Anatoly","Villarroel, Geber",,,1-0,white_win,win,A16,A,51,25.5,20,0,0,1,0,0,0,31,7,1,0,0,5,0,0,0,0,0,0,0,0
Karpov.pgn,Karpov,positional,black,"Yepez, Olavo",Caracas,Caracas,1970.??.??,1970,13,"Yepez, Olavo","Karpov, Anatoly",,,0-1,black_win,win,E55,E,79,39.5,20,2,0,1,0,2,0,40,5,0,0,0,5,0,19,1,1,0,0,1,0
Karpov.pgn,Karpov,positional,white,"Caro, Alberto N",Caracas,Caracas,1970.??.??,1970,14,"Karpov, Anatoly","Caro, Alberto N",,,1-0,white_win,win,A22,A,61,30.5,20,1,0,1,0,1,0,40,4,2,0,0,3,1,1,0,0,0,0,0,0
Karpov.pgn,Karpov,positional,black,"Ciocaltea, Victor",Caracas,Caracas,1970.??.??,1970,15,"Ciocaltea, Victor","Karpov, Anatoly",,,1/2-1/2,draw,draw,C42,C,36,18.0,20,3,1,0,0,3,0,16,1,0,0,0,1,2,0,0,0,0,0,0,0
Karpov.pgn,Karpov,positional,white,"Stein, Leonid",Caracas,Caracas,1970.??.??,1970,16,"Karpov, Anatoly","Stein, Leonid",,,1/2-1/2,draw,draw,C01,C,26,13.0,20,3,0,1,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Karpov.pgn,Karpov,positional,black,"Addison, William",Caracas,Caracas,1970.??.??,1970,17,"Addison, William","Karpov, Anatoly",,,1/2-1/2,draw,draw,C42,C,27,13.5,20,2,1,0,0,2,0,7,2,0,0,0,2,0,0,0,0,0,0,0,0
Karpov.pgn,Karpov,positional,black,"Stein, Leonid",URS-ch38 Riga,Riga,1970.??.??,1970,1,"Stein, Leonid","Karpov, Anatoly",,,1/2-1/2,draw,draw,C94,C,76,38.0,20,0,0,1,0,0,0,40,7,0,0,0,8,0,16,3,0,0,0,3,0
Karpov.pgn,Karpov,positional,white,"Savon, Vladimir A",URS-ch38 Riga,Riga,1970.??.??,1970,2,"Karpov, Anatoly","Savon, Vladimir A",,,1/2-1/2,draw,draw,B73,B,38,19.0,20,1,0,1,0,1,0,18,1,0,0,0,1,0,0,0,0,0,0,0,0
Karpov.pgn,Karpov,positional,black,"Karasev, Vladimir I",URS-ch38 Riga,Riga,1970.??.??,1970,3,"Karasev, Vladimir I","Karpov, Anatoly",,,1/2-1/2,draw,draw,E18,E,175,87.5,20,1,0,1,0,1,0,40,3,0,0,0,3,0,115,7,7,0,0,7,4
Karpov.pgn,Karpov,positional,white,"Antoshin, Vladimir S",URS-ch38 Riga,Riga,1970.??.??,1970,4,"Karpov, Anatoly","Antoshin, Vladimir S",,,1/2-1/2,draw,draw,C82,C,80,40.0,20,1,0,1,0,1,0,40,5,0,0,0,5,0,20,3,0,0,0,3,1
Karpov.pgn,Karpov,positional,black,"Tseitlin, Mark D",URS-ch38 Riga,Riga,1970.??.??,1970,5,"Tseitlin, Mark D","Karpov, Anatoly",,,1/2-1/2,draw,draw,A37,A,126,63.0,20,0,0,1,0,0,0,40,5,0,0,0,4,0,66,7,2,0,0,8,4
